english	de	fr	ko	es	ru	el	zh-Hans	zh-Hant	it	pt-BR	ja	pl
Backups live in {0}. Create one first.	Backups liegen in {0}. Lege zuerst eines an.	Les sauvegardes sont dans {0}. Créez-en une d'abord.	백업은 {0}에 있습니다. 먼저 하나 만드세요.	Las copias están en {0}. Crea una primero.	Копии хранятся в {0}. Сначала создайте одну.	Τα αντίγραφα βρίσκονται στο {0}. Δημιουργήστε πρώτα ένα.	备份存放在 {0}。请先创建一个。	備份存放在 {0}。請先建立一個。	I backup si trovano in {0}. Creane prima uno.	Os backups ficam em {0}. Crie um primeiro.	バックアップは {0} にあります。先に作成してください。	Kopie są w {0}. Najpierw utwórz jedną.
Safety copy of the previous state: {0}	Sicherheitskopie des vorherigen Stands: {0}	Copie de sécurité de l'état précédent : {0}	이전 상태의 안전 사본: {0}	Copia de seguridad del estado anterior: {0}	Страховочная копия прежнего состояния: {0}	Εφεδρικό αντίγραφο της προηγούμενης κατάστασης: {0}	上一个状态的副本：{0}	上一個狀態的副本：{0}	Copia di sicurezza dello stato precedente: {0}	Cópia de segurança do estado anterior: {0}	直前の状態の控え: {0}	Kopia bezpieczeństwa poprzedniego stanu: {0}
All ClawTweaks settings were reset to a clean state. Reopen the Game Bar (Win+G) to continue.	Alle ClawTweaks-Einstellungen wurden auf einen sauberen Stand zurückgesetzt. Öffne die Game Bar (Win+G) erneut, um fortzufahren.	Tous les réglages ClawTweaks ont été remis à zéro. Rouvrez la Game Bar (Win+G) pour continuer.	모든 ClawTweaks 설정이 초기 상태로 재설정되었습니다. 계속하려면 Game Bar(Win+G)를 다시 여세요.	Todos los ajustes de ClawTweaks se restablecieron a un estado limpio. Vuelve a abrir la Game Bar (Win+G) para continuar.	Все настройки ClawTweaks сброшены. Откройте Game Bar (Win+G), чтобы продолжить.	Όλες οι ρυθμίσεις ClawTweaks επανήλθαν σε καθαρή κατάσταση. Ανοίξτε ξανά το Game Bar (Win+G) για να συνεχίσετε.	所有 ClawTweaks 设置已重置为干净状态。请重新打开 Game Bar (Win+G) 继续。	所有 ClawTweaks 設定已重設為乾淨狀態。請重新開啟 Game Bar (Win+G) 繼續。	Tutte le impostazioni ClawTweaks sono state azzerate. Riapri la Game Bar (Win+G) per continuare.	Todas as configurações do ClawTweaks foram redefinidas. Reabra a Game Bar (Win+G) para continuar.	ClawTweaks の設定をすべてまっさらに戻しました。Game Bar (Win+G) を開き直して続けてください。	Wszystkie ustawienia ClawTweaks zostały zresetowane. Otwórz Game Bar (Win+G), aby kontynuować.
Saved {0} stores to:\n{1}	{0} Speicher gesichert nach:\n{1}	{0} magasins enregistrés dans :\n{1}	저장소 {0}개를 다음에 저장했습니다:\n{1}	{0} almacenes guardados en:\n{1}	Сохранено хранилищ: {0} в:\n{1}	Αποθηκεύτηκαν {0} καταστήματα στο:\n{1}	已把 {0} 个商店保存到：\n{1}	已把 {0} 個商店儲存到：\n{1}	Salvati {0} archivi in:\n{1}	{0} repositórios salvos em:\n{1}	{0} 件のストアを保存しました:\n{1}	Zapisano {0} magazynów w:\n{1}
Restored {0} files. The helper is restarting — reopen the Game Bar (Win+G) to continue.	{0} Dateien wiederhergestellt. Der Helper startet neu — öffne die Game Bar (Win+G) erneut, um fortzufahren.	{0} fichiers restaurés. Le helper redémarre — rouvrez la Game Bar (Win+G) pour continuer.	파일 {0}개를 복원했습니다. 헬퍼가 다시 시작됩니다 — 계속하려면 Game Bar(Win+G)를 다시 여세요.	{0} archivos restaurados. El helper se está reiniciando — vuelve a abrir la Game Bar (Win+G) para continuar.	Восстановлено файлов: {0}. Помощник перезапускается — откройте Game Bar (Win+G), чтобы продолжить.	Επαναφέρθηκαν {0} αρχεία. Ο helper επανεκκινεί — ανοίξτε ξανά το Game Bar (Win+G) για να συνεχίσετε.	已还原 {0} 个文件。helper 正在重启 — 请重新打开 Game Bar (Win+G) 继续。	已還原 {0} 個檔案。helper 正在重新啟動 — 請重新開啟 Game Bar (Win+G) 繼續。	Ripristinati {0} file. L'helper si sta riavviando — riapri la Game Bar (Win+G) per continuare.	{0} arquivos restaurados. O helper está reiniciando — reabra a Game Bar (Win+G) para continuar.	{0} 個のファイルを復元しました。ヘルパーが再起動しています — Game Bar (Win+G) を開き直して続けてください。	Przywrócono {0} plików. Helper uruchamia się ponownie — otwórz Game Bar (Win+G), aby kontynuować.
This backup is from '{0}', but this device looks like {1}. Device-specific values (TDP limits, fan scale) will be restored as-is.	Dieses Backup stammt von '{0}', dieses Gerät sieht aber nach {1} aus. Gerätespezifische Werte (TDP-Grenzen, Lüfterskala) werden unverändert übernommen.	Cette sauvegarde vient de '{0}', mais cet appareil ressemble à {1}. Les valeurs propres à l'appareil (limites TDP, échelle du ventilateur) seront restaurées telles quelles.	이 백업은 '{0}'에서 만들어졌지만 이 장치는 {1}(으)로 보입니다. 장치별 값(TDP 제한, 팬 스케일)은 그대로 복원됩니다.	Esta copia es de '{0}', pero este dispositivo parece {1}. Los valores propios del dispositivo (límites TDP, escala del ventilador) se restaurarán tal cual.	Эта копия с «{0}», а это устройство похоже на {1}. Значения, зависящие от устройства (лимиты TDP, шкала вентилятора), будут восстановлены как есть.	Αυτό το αντίγραφο είναι από '{0}', αλλά αυτή η συσκευή μοιάζει με {1}. Οι τιμές που εξαρτώνται από τη συσκευή (όρια TDP, κλίμακα ανεμιστήρα) θα επαναφερθούν ως έχουν.	这个备份来自「{0}」，但这台设备看起来是 {1}。与设备相关的数值 (TDP 上限、风扇刻度) 会按原样还原。	這個備份來自「{0}」，但這台裝置看起來是 {1}。與裝置相關的數值 (TDP 上限、風扇刻度) 會依原樣還原。	Questo backup viene da '{0}', ma questo dispositivo sembra {1}. I valori specifici del dispositivo (limiti TDP, scala ventola) verranno ripristinati così come sono.	Este backup é de '{0}', mas este dispositivo parece ser {1}. Valores específicos do dispositivo (limites de TDP, escala da ventoinha) serão restaurados como estão.	このバックアップは「{0}」のものですが、このデバイスは {1} のようです。デバイス固有の値 (TDP 上限、ファンの目盛り) はそのまま復元されます。	Ta kopia pochodzi z „{0}”, a to urządzenie wygląda na {1}. Wartości specyficzne dla urządzenia (limity TDP, skala wentylatora) zostaną przywrócone bez zmian.
Backup is from {0}; you have {1} installed. Restoring across versions usually works, but isn't guaranteed.	Das Backup stammt aus {0}; installiert ist {1}. Wiederherstellen über Versionen hinweg klappt meist, ist aber nicht garantiert.	La sauvegarde vient de {0} ; vous avez {1} d'installé. Restaurer entre versions fonctionne en général, sans garantie.	백업은 {0}에서 만들어졌고 설치된 버전은 {1}입니다. 버전 간 복원은 보통 되지만 보장되지는 않습니다.	La copia es de {0}; tienes {1} instalado. Restaurar entre versiones suele funcionar, pero no está garantizado.	Копия от {0}; у вас установлен {1}. Восстановление между версиями обычно работает, но не гарантировано.	Το αντίγραφο είναι από {0}· έχετε εγκατεστημένο το {1}. Η επαναφορά ανάμεσα σε εκδόσεις συνήθως δουλεύει, αλλά δεν είναι εγγυημένη.	备份来自 {0}；你安装的是 {1}。跨版本还原通常可行，但不保证。	備份來自 {0}；你安裝的是 {1}。跨版本還原通常可行，但不保證。	Il backup viene da {0}; hai installato {1}. Il ripristino tra versioni di solito funziona, ma non è garantito.	O backup é de {0}; você tem {1} instalado. Restaurar entre versões costuma funcionar, mas não é garantido.	バックアップは {0} のもので、入っているのは {1} です。バージョンをまたぐ復元はたいてい動きますが、保証はありません。	Kopia pochodzi z {0}; masz zainstalowane {1}. Przywracanie między wersjami zwykle działa, ale nie jest gwarantowane.
You're on the "{0}" channel — the install routine is currently known not to work correctly on Insider builds.	Du bist im Kanal „{0}“ — die Installationsroutine funktioniert auf Insider-Builds derzeit bekanntermaßen nicht richtig.	Vous êtes sur le canal « {0} » — la routine d'installation ne fonctionne pas correctement sur les builds Insider pour l'instant.	현재 "{0}" 채널입니다 — 설치 루틴은 현재 Insider 빌드에서 제대로 작동하지 않는 것으로 알려져 있습니다.	Estás en el canal "{0}" — se sabe que la rutina de instalación no funciona bien en builds Insider por ahora.	Вы на канале «{0}» — процедура установки сейчас заведомо некорректно работает на сборках Insider.	Είστε στο κανάλι "{0}" — η διαδικασία εγκατάστασης είναι γνωστό ότι δεν δουλεύει σωστά σε εκδόσεις Insider.	你在「{0}」通道 — 已知安装流程在 Insider 版本上无法正常工作。	你在「{0}」通道 — 已知安裝流程在 Insider 版本上無法正常運作。	Sei sul canale "{0}" — al momento la routine di installazione notoriamente non funziona bene sulle build Insider.	Você está no canal "{0}" — a rotina de instalação atualmente não funciona bem em builds Insider.	「{0}」チャネルを使っています — インストール処理は Insider ビルドでは正しく動かないことが分かっています。	Jesteś na kanale „{0}” — procedura instalacji obecnie nie działa poprawnie na wersjach Insider.
▲ Update available on GitHub: {0} ({1})	▲ Update auf GitHub verfügbar: {0} ({1})	▲ Mise à jour disponible sur GitHub : {0} ({1})	▲ GitHub에 업데이트 있음: {0} ({1})	▲ Actualización disponible en GitHub: {0} ({1})	▲ Обновление доступно на GitHub: {0} ({1})	▲ Διαθέσιμη ενημέρωση στο GitHub: {0} ({1})	▲ GitHub 上有更新：{0} ({1})	▲ GitHub 上有更新：{0} ({1})	▲ Aggiornamento disponibile su GitHub: {0} ({1})	▲ Atualização disponível no GitHub: {0} ({1})	▲ GitHub に更新があります: {0} ({1})	▲ Aktualizacja dostępna na GitHub: {0} ({1})
ClawTweaks Center update available: {0}	ClawTweaks-Center-Update verfügbar: {0}	Mise à jour de ClawTweaks Center disponible : {0}	ClawTweaks Center 업데이트 있음: {0}	Actualización de ClawTweaks Center disponible: {0}	Доступно обновление ClawTweaks Center: {0}	Διαθέσιμη ενημέρωση ClawTweaks Center: {0}	ClawTweaks Center 有更新：{0}	ClawTweaks Center 有更新：{0}	Aggiornamento di ClawTweaks Center disponibile: {0}	Atualização do ClawTweaks Center disponível: {0}	ClawTweaks Center の更新があります: {0}	Dostępna aktualizacja ClawTweaks Center: {0}
You're running {0}. Install it here — Center restarts when it's done.	Du hast {0}. Hier installieren — Center startet danach neu.	Vous avez {0}. Installez-la ici — Center redémarre ensuite.	현재 {0}입니다. 여기서 설치하세요 — 완료되면 Center가 다시 시작됩니다.	Tienes {0}. Instálala aquí — Center se reinicia al terminar.	У вас {0}. Установите здесь — Center перезапустится по завершении.	Τρέχετε την {0}. Εγκαταστήστε την εδώ — το Center επανεκκινεί όταν τελειώσει.	你在用 {0}。可以在这里安装 — 完成后 Center 会重启。	你在用 {0}。可以在這裡安裝 — 完成後 Center 會重新啟動。	Hai {0}. Installalo qui — Center si riavvia alla fine.	Você usa {0}. Instale aqui — o Center reinicia ao terminar.	現在は {0} です。ここでインストールできます — 終わると Center が再起動します。	Masz {0}. Zainstaluj tutaj — Center uruchomi się ponownie po zakończeniu.
You're running {0}. Download the new Setup file and run it — it installs over this one, and no administrator rights are needed.	Du hast {0}. Lade die neue Setup-Datei herunter und starte sie — sie installiert über diese Version, ohne Administratorrechte.	Vous avez {0}. Téléchargez le nouveau Setup et lancez-le — il s'installe par-dessus celui-ci, sans droits d'administrateur.	현재 {0}입니다. 새 설치 파일을 내려받아 실행하세요 — 이 버전 위에 설치되며 관리자 권한이 필요 없습니다.	Tienes {0}. Descarga el nuevo Setup y ejecútalo — se instala sobre este, sin derechos de administrador.	У вас {0}. Скачайте новый установщик и запустите его — он установится поверх этого, права администратора не нужны.	Τρέχετε την {0}. Κατεβάστε το νέο αρχείο Setup και τρέξτε το — εγκαθίσταται πάνω από αυτό και δεν χρειάζονται δικαιώματα διαχειριστή.	你在用 {0}。请下载新的安装程序并运行 — 它会覆盖安装，也不需要管理员权限。	你在用 {0}。請下載新的安裝程式並執行 — 它會覆蓋安裝，也不需要系統管理員權限。	Hai {0}. Scarica il nuovo file di Setup ed eseguilo — si installa sopra questo, senza diritti di amministratore.	Você usa {0}. Baixe o novo arquivo de Setup e execute-o — ele instala por cima deste, sem direitos de administrador.	現在は {0} です。新しいセットアップをダウンロードして実行してください — 上書きインストールされ、管理者権限も不要です。	Masz {0}. Pobierz nowy plik instalatora i uruchom go — instaluje się na obecnej wersji, bez uprawnień administratora.
